,Date,views,likes,dislikes,comment_count,s&p_Open,s&p_High,s&p_Low,s&p_Close,s&p_Adj Close,s&p_Volume,dow_Open,dow_High,dow_Low,dow_Close,dow_Adj Close,dow_Volume,etc_Open,etc_High,etc_Low,etc_Close,etc_Adj Close,etc_Volume,btc_Open,btc_High,btc_Low,btc_Close,btc_Adj Close,btc_Volume
0,2017-11-14,185435246,7637635,270876,691402,2577.75,2579.659912,2566.560059,2578.8701170000004,2578.8701170000004,3641760000.0,23388.400391,23414.080078,23271.570313,23409.470703,23409.470703,561330000.0,314.600006,337.149994,314.450012,334.72000099999997,334.72000099999997,256426287,6522.450195,6728.589844,6419.180176,6597.060059,6597.060059,634604991
1,2017-11-15,212445216,7601148,313577,709009,2569.449951,2572.840088,2557.449951,2564.6201170000004,2564.6201170000004,3558890000.0,23334.589844,23344.990234,23242.75,23271.279297,23271.279297,404300000.0,334.72000099999997,345.179993,324.880005,331.200012,331.200012,171713343,6597.060059,7330.060059,6596.939941,7283.220215,7283.220215,922959468
2,2017-11-16,227365391,7886807,338755,735962,2572.949951,2590.090088,2572.949951,2585.639893,2585.639893,3312710000.0,23365.339844,23492.189453,23365.339844,23458.359375,23458.359375,402020000.0,331.200012,334.850006,321.899994,330.320007,330.320007,157426941,7283.02002,7964.640137,7119.169922,7853.680176000001,7853.680176000001,1010130763
3,2017-11-17,193541711,7143580,341176,814596,2582.939941,2583.959961,2577.6201170000004,2578.850098,2578.850098,3300160000.0,23433.769531,23433.769531,23356.009766,23358.240234,23358.240234,386000000.0,330.320007,334.549988,325.829987,331.72000099999997,331.72000099999997,124992568,7853.680176000001,8000.189941,7534.700195,7699.950195,7699.950195,917599923
4,2017-11-18,196846875,8393717,322349,901370,,,,,,,,,,,,,331.72000099999997,349.459991,326.829987,346.649994,346.649994,141724984,7699.950195,7857.52002,7458.899901999999,7780.910156,7780.910156,571121111
5,2017-11-19,215052284,9382879,324972,910415,,,,,,,,,,,,,346.649994,371.320007,343.890015,354.600006,354.600006,225946121,7781.02002,8100.870117,7675.410156,8042.640137,8042.640137,541391321
6,2017-11-20,257000111,10377742,367519,1038231,2579.48999,2584.639893,2578.23999,2582.139893,2582.139893,3003540000.0,23370.710938,23456.880859,23360.580078,23430.330078,23430.330078,315330000.0,354.670013,372.820007,354.27999900000003,367.709991,367.709991,167626773,8042.640137,8294.120117,7947.279785,8244.69043,8244.69043,617354329
7,2017-11-21,272366796,10567383,360554,1034750,2589.169922,2601.189941,2589.169922,2599.030029,2599.030029,3332720000.0,23500.150391,23617.800781,23500.150391,23590.830078,23590.830078,329650000.0,367.709991,372.869995,351.410004,360.519989,360.519989,251898109,8245.870117,8368.360352,7819.060059,8099.970215,8099.970215,938345413
8,2017-11-22,283346688,10543677,340612,1033128,2600.310059,2600.939941,2595.22998,2597.080078,2597.080078,2762950000.0,23597.240234,23605.769531,23507.609375,23526.179688,23526.179688,268760000.0,360.519989,381.609985,359.97000099999997,380.839996,380.839996,164317320,8099.919922,8304.370117,8091.629883,8234.549805,8234.549805,539697375
9,2017-11-23,279033536,9357437,298110,871763,,,,,,,,,,,,,380.829987,424.920013,375.440002,406.570007,406.570007,414164352,8234.5,8266.549805,8012.350098000001,8013.410156,8013.410156,555465146
10,2017-11-24,296317433,9401569,316980,888800,2600.419922,2604.209961,2600.419922,2602.419922,2602.419922,1349780000.0,23552.75,23599.179688,23551.589844,23557.990234,23557.990234,118610000.0,406.51001,478.380005,400.179993,470.42999299999997,470.42999299999997,394452948,8013.379883,8332.94043,7900.169922,8200.799805,8200.799805,595710405
11,2017-11-25,312452069,10939372,326568,1189356,,,,,,,,,,,,,470.39999400000005,483.380005,457.410004,464.60998499999994,464.60998499999994,301212841,8203.450195,8761.980469,8153.700195,8754.69043,8754.69043,718483679
12,2017-11-26,340390413,11674439,353589,1330635,,,,,,,,,,,,,464.549988,471.5,451.119995,470.540009,470.540009,172973289,8754.620117,9474.620117,8746.55957,9318.419922,9318.419922,782499976
13,2017-11-27,257899276,9833547,261986,1319357,2602.659912,2606.409912,2598.8701170000004,2601.419922,2601.419922,3006860000.0,23552.859375,23638.919922,23545.019531,23580.779297,23580.779297,296320000.0,470.450012,489.42999299999997,462.47000099999997,475.23999000000003,475.23999000000003,319587125,9318.419922,9733.610352,9316.839844,9733.200195,9733.200195,1025175619
14,2017-11-28,242584076,9170432,284057,1263186,2605.939941,2627.689941,2605.439941,2627.040039,2627.040039,3488420000.0,23625.189453,23849.609375,23617.109375,23836.710938,23836.710938,319240000.0,475.200012,478.459991,459.910004,466.26998899999995,466.26998899999995,258005286,9732.629883,9969.580078,9638.200195,9906.040039,9906.040039,865328615
15,2017-11-29,195162120,8811866,274239,1325386,2627.820068,2634.889893,2620.320068,2626.070068,2626.070068,4078280000.0,23883.259766,23959.759766,23872.589844,23940.679688,23940.679688,401410000.0,466.23999000000003,515.4400019999999,409.350006,427.420013,427.420013,619578824,9906.040039,11417.839844,8938.700195,9837.860352,9837.860352,2418792360
16,2017-11-30,239558899,10309148,316457,1562866,2633.929932,2657.73999,2633.929932,2647.580078,2647.580078,4938490000.0,24013.800781,24327.820313,24013.800781,24272.349609,24272.349609,488200000.0,427.299988,460.80999800000006,396.140015,434.85000599999995,434.85000599999995,438013592,9848.049805,10689.05957,9023.769531,9946.759766,9946.759766,1836210107
17,2017-12-01,232922521,10261408,273292,1562812,2645.100098,2650.6201170000004,2605.52002,2642.219971,2642.219971,3942320000.0,24305.400391,24322.060547,23921.900391,24231.589844,24231.589844,417910000.0,435.30999800000006,467.22000099999997,416.769989,461.579987,461.579987,259931075,9947.080078,10942.799805,9420.929688,10861.469727,10861.469727,1353669597
18,2017-12-02,216493881,9111105,246855,1022963,,,,,,,,,,,,,461.579987,471.39001500000006,449.69000199999994,457.959991,457.959991,214732551,10861.469727,11175.230469,10715.549805,10912.730469,10912.730469,950474241
19,2017-12-03,252269204,9874303,274121,1044691,,,,,,,,,,,,,457.959991,481.55999800000006,445.57000700000003,462.80999800000006,462.80999800000006,237918665,10912.719727,11851.089844,10578.429688,11246.209961,11246.209961,1380012064
20,2017-12-04,284933560,10405210,308329,1033652,2657.189941,2665.189941,2639.030029,2639.439941,2639.439941,4023150000.0,24424.109375,24534.039063,24288.189453,24290.050781,24290.050781,424250000.0,462.920013,472.160004,446.64001500000006,466.92999299999997,466.92999299999997,189877684,11244.200195,11624.629883,10917.80957,11623.910156,11623.910156,1057859226
21,2017-12-05,315863007,10993189,356188,1081209,2639.780029,2648.719971,2627.72998,2629.570068,2629.570068,3539040000.0,24335.009766,24349.740234,24155.279297,24180.640625,24180.640625,371190000.0,466.92999299999997,467.839996,451.47000099999997,453.959991,453.959991,227246572,11624.370117,11901.870117,11486.129883,11667.129883,11667.129883,1048839303
